会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
大村,1,1,4045,佐々木裕,45,山口,47,B1,4.83,31.13,5.18,38.46,20,31.82,78,36.00,5 124 3115   9
大村,1,2,4317,木村紗友,41,静岡,47,B1,4.04,23.33,5.00,25.64,75,35.29,75,32.00,5 345 652    5
大村,1,3,4893,渡邉真奈,34,東京,47,B2,4.66,29.69,4.67,20.00,37,6.67,14,13.64,4 464 322    7
大村,1,4,5203,神里琴音,21,福岡,44,B1,4.35,21.10,3.34,10.64,31,27.27,11,33.33,S15 461 5    5
大村,1,5,5164,森田梨湖,25,福岡,49,B1,2.97,6.45,1.43,0.00,27,22.73,35,25.00,566 446 4    7
大村,1,6,5387,戸田海咲,19,山口,52,B2,1.25,0.00,1.25,0.00,53,42.31,62,29.17,5 6 665 4    5
大村,2,1,4747,山戸信二,39,長崎,51,B1,3.26,9.76,3.98,16.24,34,8.33,39,0.00,131 254 66  10
大村,2,2,4213,重富伸也,41,長崎,53,B1,5.04,34.21,4.49,25.00,39,40.00,73,13.33,565 146 4    6
大村,2,3,4142,平野和明,44,愛知,53,B1,5.58,30.14,6.50,40.00,71,12.50,64,51.85,5 45543 3    6
大村,2,4,5067,山田真聖,26,山口,57,B1,4.44,27.10,3.25,16.67,55,12.50,76,38.89,6 323 552    8
大村,2,5,4094,中島真二,44,福岡,53,B1,4.48,20.56,4.75,29.17,29,43.48,22,18.18,4 156 632    8
大村,2,6,3614,谷勝幸,52,広島,56,B1,4.69,29.09,3.53,17.65,35,47.62,37,16.67,636 661 3    8
大村,3,1,3551,藤田美代,53,福岡,45,B1,4.41,18.75,4.92,15.38,23,18.18,74,12.50,3 223 4314   9
大村,3,2,5296,永田楽,23,愛知,46,B1,4.42,29.03,3.11,21.05,24,26.09,61,58.33,1 156 4S4    9
大村,3,3,3604,武藤綾子,54,福岡,48,B1,3.96,16.49,2.91,6.06,48,45.83,71,6.67,6 522 261    7
大村,3,4,5314,中曽瑠華,24,東京,54,B2,1.96,0.00,0.00,0.00,63,13.33,60,12.50,4 4 536 3    7
大村,3,5,4878,西岡育未,30,徳島,46,B1,4.67,23.60,4.52,28.57,67,32.00,13,19.35,522 531525   9
大村,3,6,4275,菅野はや,42,広島,52,B1,3.50,10.89,3.56,0.00,41,12.50,28,22.58,265 625 6    7
大村,4,1,3442,宮武英司,55,香川,55,B1,5.32,33.03,5.94,31.25,40,33.33,66,61.54,323 5 444   10
大村,4,2,4651,佐藤大騎,40,大阪,52,B1,5.00,28.24,4.43,28.57,50,52.17,57,55.00,5 554 1 5    8
大村,4,3,4574,東潤樹,36,広島,52,B1,4.51,24.35,4.77,30.00,36,24.00,50,43.75,3 5 23523    8
大村,4,4,3661,柳瀬興志,55,山口,57,A2,5.00,23.76,3.91,17.39,33,35.00,63,28.00,2 344 2434  10
大村,4,5,4890,石川諒,36,山口,53,B1,5.00,31.90,5.87,43.48,61,29.17,44,33.33,4 1 656 2    8
大村,4,6,4248,岡本大,43,長崎,54,B1,4.13,17.35,4.67,28.97,28,38.10,55,44.44,3 24133 64  10
大村,5,1,3579,中里優子,52,埼玉,48,B1,5.19,32.58,4.71,25.00,76,11.11,26,37.04,344 216 6    9
大村,5,2,5203,神里琴音,21,福岡,44,B1,4.35,21.10,3.34,10.64,31,27.27,11,33.33,S15 461 5    1
大村,5,3,5362,中嶋世奈,18,静岡,50,B2,1.64,2.47,0.00,0.00,62,42.31,45,25.00,6 666 435
大村,5,4,4317,木村紗友,41,静岡,47,B1,4.04,23.33,5.00,25.64,75,35.29,75,32.00,5 345 652    1
大村,5,5,5387,戸田海咲,19,山口,52,B2,1.25,0.00,1.25,0.00,53,42.31,62,29.17,5 6 665 4    1
大村,5,6,4680,後藤美翼,35,東京,47,B1,5.01,27.16,6.90,50.00,18,23.08,77,32.00,124 225 34   9
大村,6,1,3612,馬袋義則,52,兵庫,54,A1,6.46,44.52,3.75,25.00,51,6.67,46,23.53,14444 4 15  10
大村,6,2,3617,竹田広樹,52,佐賀,54,B1,3.61,19.39,4.25,37.50,70,12.50,16,10.53,6 66561 5
大村,6,3,4790,柳内敬太,35,兵庫,52,A2,5.42,32.04,6.10,47.92,19,0.00,34,7.14,613 362455  10
大村,6,4,4142,平野和明,44,愛知,53,B1,5.58,30.14,6.50,40.00,71,12.50,64,51.85,5 45543 3    2
大村,6,5,4213,重富伸也,41,長崎,53,B1,5.04,34.21,4.49,25.00,39,40.00,73,13.33,565 146 4    2
大村,6,6,4303,牧原崇,42,愛知,52,A2,5.57,37.84,5.50,34.62,22,52.38,52,64.29,5 S14 631
大村,7,1,4275,菅野はや,42,広島,52,B1,3.50,10.89,3.56,0.00,41,12.50,28,22.58,265 625 6    3
大村,7,2,5164,森田梨湖,25,福岡,49,B1,2.97,6.45,1.43,0.00,27,22.73,35,25.00,566 446 4    1
大村,7,3,5314,中曽瑠華,24,東京,54,B2,1.96,0.00,0.00,0.00,63,13.33,60,12.50,4 4 536 3    3
大村,7,4,4893,渡邉真奈,34,東京,47,B2,4.66,29.69,4.67,20.00,37,6.67,14,13.64,4 464 322    1
大村,7,5,4011,堀之内紀,45,岡山,46,B1,6.18,45.45,6.67,55.56,17,31.82,53,31.25,35315 2 1S
大村,7,6,3604,武藤綾子,54,福岡,48,B1,3.96,16.49,2.91,6.06,48,45.83,71,6.67,6 522 261    3
大村,8,1,3614,谷勝幸,52,広島,56,B1,4.69,29.09,3.53,17.65,35,47.62,15,25.00,636 661 3    2
大村,8,2,4094,中島真二,44,福岡,53,B1,4.48,20.56,4.75,29.17,29,43.48,22,18.18,4 156 632    2
大村,8,3,4890,石川諒,36,山口,53,B1,5.00,31.90,5.87,43.48,61,29.17,44,33.33,4 1 656 2    4
大村,8,4,4574,東潤樹,36,広島,52,B1,4.51,24.35,4.77,30.00,36,24.00,50,43.75,3 5 23523    4
大村,8,5,4651,佐藤大騎,40,大阪,52,B1,5.00,28.24,4.43,28.57,50,52.17,57,55.00,5 554 1 5    4
大村,8,6,5067,山田真聖,26,山口,57,B1,4.44,27.10,3.25,16.67,55,12.50,76,38.89,6 323 552    2
大村,9,1,4680,後藤美翼,35,東京,47,B1,5.01,27.16,6.90,50.00,18,23.08,77,32.00,124 225 34   5
大村,9,2,3551,藤田美代,53,福岡,45,B1,4.41,18.75,4.92,15.38,23,18.18,74,12.50,3 223 4314   3
大村,9,3,4045,佐々木裕,45,山口,47,B1,4.83,31.13,5.18,38.46,20,31.82,78,36.00,5 124 3115   1
大村,9,4,4878,西岡育未,30,徳島,46,B1,4.67,23.60,4.52,28.57,67,32.00,13,19.35,522 531525   3
大村,9,5,3579,中里優子,52,埼玉,48,B1,5.19,32.58,4.71,25.00,76,11.11,26,37.04,344 216 6    5
大村,9,6,5296,永田楽,23,愛知,46,B1,4.42,29.03,3.11,21.05,24,26.09,61,58.33,1 156 4S4    3
大村,10,1,4248,岡本大,43,長崎,54,B1,4.13,17.35,4.67,28.97,28,38.10,55,44.44,3 24133 64   4
大村,10,2,3661,柳瀬興志,55,山口,57,A2,5.00,23.76,3.91,17.39,33,35.00,63,28.00,2 344 2434   4
大村,10,3,3612,馬袋義則,52,兵庫,54,A1,6.46,44.52,3.75,25.00,51,6.67,46,23.53,14444 4 15   6
大村,10,4,4790,柳内敬太,35,兵庫,52,A2,5.42,32.04,6.10,47.92,19,0.00,34,7.14,613 362455   6
大村,10,5,4747,山戸信二,39,長崎,51,B1,3.26,9.76,3.98,16.24,34,8.33,39,0.00,131 254 66   2
大村,10,6,3442,宮武英司,55,香川,55,B1,5.32,33.03,5.94,31.25,40,33.33,66,61.54,323 5 444    4
大村,11,1,3470,新田芳美,55,徳島,47,B1,5.00,30.12,5.40,37.78,43,25.00,69,12.50,125 114 51
大村,11,2,4984,森下愛梨,28,静岡,50,B1,5.20,26.05,4.11,22.22,56,7.14,40,38.46,43113 3131
大村,11,3,4408,仁科さや,39,長崎,47,B2,3.75,23.44,5.20,34.55,38,21.43,47,0.00,2 331 1262
大村,11,4,4720,西澤日花,31,長崎,46,B1,5.21,31.25,5.81,40.28,46,26.92,49,50.00,362 311 32
大村,11,5,4900,中田夕貴,32,埼玉,47,A2,5.64,35.23,5.44,22.22,30,38.10,38,16.67,213 253 43
大村,11,6,5250,嶋田有里,23,長崎,45,B1,3.35,16.00,2.42,7.61,57,32.00,43,43.75,144 152 23
大村,12,1,4064,原田篤志,45,山口,51,A1,6.65,50.71,6.82,50.00,60,60.87,20,32.00,13132 2151
大村,12,2,3623,深川真二,51,佐賀,51,A1,7.15,59.85,7.52,62.20,44,44.00,41,43.75,512 1 1221
大村,12,3,4260,中越博紀,41,香川,55,A2,5.46,41.28,7.33,60.00,21,40.91,51,35.71,2 61123 62
大村,12,4,4302,西野翔太,42,広島,52,A1,5.98,42.86,6.86,54.39,25,45.00,59,40.74,454 2 5142
大村,12,5,3556,田中信一,52,大阪,54,A1,6.88,52.80,6.61,42.86,64,41.67,58,25.93,423 312 13
大村,12,6,4679,植田太一,36,福岡,59,A2,6.10,43.44,5.30,33.33,26,54.55,70,12.50,142 2 3513
唐津,1,1,4509,平見真彦,36,愛知,54,A1,5.60,31.63,6.87,33.33,50,32.24,58,46.39,3           11
唐津,1,2,5101,表健太,28,福岡,53,B2,3.18,5.88,3.22,11.11,40,37.14,6,26.67,S            7
唐津,1,3,5000,岡本翔太,30,山口,51,B1,4.76,24.00,4.38,12.50,62,32.68,50,25.84,62           9
唐津,1,4,5011,高木圭大,28,長崎,53,B2,3.30,9.86,3.68,19.35,11,28.03,17,26.13,4            6
唐津,1,5,4077,品田直樹,46,東京,51,B1,4.73,24.51,4.52,26.09,47,42.36,59,47.12,45           6
唐津,1,6,5372,上岡巧汰,22,広島,53,B2,1.42,0.00,0.00,0.00,38,29.27,14,43.14,65
唐津,2,1,4102,益田啓司,46,福岡,52,A2,6.80,53.85,7.08,54.67,41,39.29,15,18.09,1           12
唐津,2,2,4624,高田明,40,佐賀,49,A2,6.52,47.62,6.41,47.13,67,41.95,55,31.73,1           11
唐津,2,3,4039,村上功祐,46,大阪,58,B1,5.89,38.89,4.24,5.88,51,40.82,41,53.92,2            6
唐津,2,4,4896,花本剛,33,山口,58,B1,4.34,20.65,4.27,19.23,63,25.25,9,33.98,63
唐津,2,5,4112,大久保信,45,佐賀,52,B1,5.21,28.57,5.09,31.91,49,30.25,27,46.32,3            8
唐津,2,6,4429,豊田泰洋,39,広島,62,B1,4.24,20.79,4.75,30.00,61,40.96,51,27.72,5            8
唐津,3,1,3158,島川光男,60,広島,53,A2,5.66,37.76,6.22,48.44,42,37.04,54,27.37,32          11
唐津,3,2,5027,重冨勇哉,28,山口,55,B1,4.64,27.91,5.00,27.78,26,29.13,42,24.21,33           8
唐津,3,3,3892,草場康幸,49,佐賀,54,B1,5.34,34.69,5.62,34.07,70,39.42,57,45.36,5            9
唐津,3,4,4368,山口隆史,39,福岡,54,B1,4.41,23.30,3.98,19.51,17,37.17,43,26.26,32          10
唐津,3,5,4769,馬場剛,33,東京,51,A2,5.68,38.46,5.88,40.00,29,35.91,19,40.57,43
唐津,3,6,4158,木場雄二,44,山口,57,B1,4.30,27.00,3.70,20.00,15,26.98,32,21.98,3            9
唐津,4,1,4163,山崎裕司,43,広島,53,A2,5.62,38.98,5.76,34.21,65,27.19,60,36.19,1           12
唐津,4,2,3523,寳田亮治,56,福岡,53,B1,4.57,27.54,5.78,43.33,32,27.88,30,24.21,3           11
唐津,4,3,4237,大峯豊,41,山口,52,A1,7.32,51.82,7.20,46.67,34,27.89,31,38.46,44
唐津,4,4,3582,吉川昭男,52,滋賀,53,A2,6.49,51.43,6.65,56.76,46,39.36,33,38.18,2           10
唐津,4,5,5035,櫻井優,27,埼玉,53,B1,5.44,37.96,1.00,0.00,19,34.33,46,29.70,25           8
唐津,4,6,4257,古川健,41,広島,51,B1,5.19,34.44,5.59,37.84,13,26.61,47,24.76,6            9
唐津,5,1,4570,前田聖文,37,愛知,55,A1,6.70,48.36,6.00,45.45,24,32.12,49,41.05,13
唐津,5,2,4529,嶋義信,36,香川,55,A2,5.07,34.09,5.28,28.26,22,40.71,18,30.10,16           9
唐津,5,3,3736,岡本猛,51,大阪,52,B1,4.64,23.08,5.05,28.21,43,42.79,25,17.31,3           10
唐津,5,4,3989,熊本英一,47,佐賀,59,B1,3.88,19.28,4.72,23.66,12,41.08,48,25.00,54
唐津,5,5,4351,里岡右貴,39,福岡,54,A1,6.87,52.34,6.84,59.46,64,36.61,13,41.35,24          12
唐津,5,6,4382,高山智至,40,滋賀,55,B1,3.94,17.95,3.21,10.34,55,40.53,11,39.39,24
唐津,6,1,4077,品田直樹,46,東京,51,B1,4.73,24.51,4.52,26.09,47,42.36,59,47.12,45           1
唐津,6,2,4898,菊地敬介,33,埼玉,57,B1,4.73,24.24,0.00,0.00,66,32.07,52,33.03,42
唐津,6,3,4288,永田啓二,40,福岡,53,A1,7.07,58.93,7.13,65.00,21,31.36,38,31.73,12          10
唐津,6,4,4887,富澤祐作,38,群馬,55,A2,4.28,24.32,6.11,42.11,23,41.48,39,26.09,6           12
唐津,6,5,4039,村上功祐,46,大阪,58,B1,5.89,38.89,4.24,5.88,51,40.82,41,53.92,2            2
唐津,6,6,5011,高木圭大,28,長崎,53,B2,3.30,9.86,3.68,19.35,11,28.03,17,26.13,4            1
唐津,7,1,5006,久保原秀,28,群馬,55,B1,4.73,29.41,2.50,0.00,60,38.72,4,32.35,66          11
唐津,7,2,4506,稗田聖也,37,福岡,53,A2,5.74,40.95,5.42,30.77,44,29.22,8,30.00,65
唐津,7,3,4511,中岡健人,36,香川,58,B2,4.08,25.76,5.56,33.33,28,28.76,53,27.55,44
唐津,7,4,5101,表健太,28,福岡,53,B2,3.18,5.88,3.22,11.11,40,37.14,6,26.67,S            1
唐津,7,5,4409,坂元浩仁,39,愛知,56,A2,6.43,53.33,5.93,43.33,48,34.50,2,30.51,14          12
唐津,7,6,5032,谷口知優,27,香川,53,B1,5.44,35.16,5.56,38.89,59,27.56,40,32.04,55
唐津,8,1,5035,櫻井優,27,埼玉,53,B1,5.44,37.96,1.00,0.00,19,34.33,46,29.70,25           4
唐津,8,2,4429,豊田泰洋,39,広島,62,B1,4.24,20.79,4.75,30.00,61,40.96,51,27.72,5            2
唐津,8,3,5359,佐藤世那,19,東京,53,B1,2.43,2.63,0.00,0.00,57,32.74,23,27.47,56
唐津,8,4,4112,大久保信,45,佐賀,52,B1,5.21,28.57,5.09,31.91,49,30.25,27,46.32,3            2
唐津,8,5,3744,徳増秀樹,50,静岡,53,A1,6.99,53.49,5.88,38.24,20,48.74,29,31.31,26          12
唐津,8,6,5027,重冨勇哉,28,山口,55,B1,4.64,27.91,5.00,27.78,26,29.13,42,24.21,33           3
唐津,9,1,3892,草場康幸,49,佐賀,54,B1,5.34,34.69,5.62,34.07,70,39.42,57,45.36,5            3
唐津,9,2,4257,古川健,41,広島,51,B1,5.19,34.44,5.59,37.84,13,26.61,47,24.76,6            4
唐津,9,3,4319,三宅潤,40,大阪,54,A2,5.78,40.00,5.41,40.74,68,32.33,37,24.00,11
唐津,9,4,4158,木場雄二,44,山口,57,B1,4.30,27.00,3.70,20.00,15,26.98,32,21.98,3            3
唐津,9,5,5000,岡本翔太,30,山口,51,B1,4.76,24.00,4.38,12.50,62,32.68,50,25.84,62           1
唐津,9,6,4529,嶋義信,36,香川,55,A2,5.07,34.09,5.28,28.26,22,40.71,18,30.10,16           5
唐津,10,1,3920,正木聖賢,50,広島,56,B1,4.96,29.47,6.22,43.48,39,35.62,26,29.91,52
