会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
大村,1,1,4674,池田剛規,38,福岡,51,B1,5.13,30.48,5.97,43.59,62,36.36,16,22.58,534 5        5
大村,1,2,3211,北川敏弘,64,佐賀,54,B1,4.26,17.39,4.08,18.42,56,47.22,52,17.86,356 4        6
大村,1,3,5033,藤原孝斗,28,愛知,54,B1,4.32,28.00,3.44,18.75,12,12.12,66,32.26,443 4        7
大村,1,4,3441,土屋太朗,56,群馬,55,B1,4.67,24.00,0.00,0.00,67,29.41,83,36.84,4 553        7
大村,1,5,5426,甲斐貴大,24,福岡,54,B2,1.85,2.70,1.38,0.00,13,42.86,61,12.90,666 5        5
大村,1,6,4872,山下流心,33,広島,54,B1,4.37,26.13,3.82,5.88,77,29.03,38,36.67,2 565        9
大村,2,1,4004,山本浩輔,48,長崎,52,B1,4.88,27.71,4.83,27.27,51,19.35,39,37.93,3 1545      12
大村,2,2,4196,田中太一,44,佐賀,52,B1,3.73,18.95,4.61,28.07,11,9.38,41,15.79,2 536        6
大村,2,3,5325,澁川夏,23,大阪,52,B1,5.83,39.58,4.00,0.00,71,21.21,75,44.44,624 3        8
大村,2,4,3967,鈴木茂高,46,愛知,57,B1,4.75,30.00,5.20,40.00,29,40.63,79,40.00,166 6        7
大村,2,5,5063,大塚雅治,28,東京,53,B1,4.46,18.57,5.06,18.75,41,54.29,13,23.33,5 151        9
大村,2,6,4945,上村宏太,34,東京,54,B1,4.08,14.94,3.61,11.11,15,22.22,86,34.48,5 645
大村,3,1,4866,橋本英一,36,福岡,55,B1,3.93,15.71,4.17,17.39,58,40.00,80,29.03,6 334        8
大村,3,2,3939,渡辺真至,48,愛知,52,B2,5.51,40.54,5.83,44.44,33,35.29,18,32.26,332 55      12
大村,3,3,3467,森弘行,57,東京,52,B1,3.96,12.33,3.64,10.71,52,47.06,45,40.00,256 6        7
大村,3,4,4626,伊藤紘章,40,愛知,51,B1,4.26,21.92,4.04,28.57,45,42.86,85,50.00,2 1634      10
大村,3,5,5207,高山敬悟,28,福岡,53,B1,5.38,39.33,5.13,33.33,76,32.35,59,40.00,426 43
大村,3,6,3544,豊田訓靖,57,静岡,53,B1,3.64,13.48,0.00,0.00,35,27.27,72,32.26,4 466
大村,4,1,4440,萩原知哉,39,東京,54,B1,4.89,27.06,4.28,16.00,30,24.24,11,40.00,556 34
大村,4,2,4161,黒柳浩孝,44,愛知,54,B1,5.25,31.97,5.77,46.15,24,45.45,71,29.03,262 2        9
大村,4,3,4259,真庭明志,42,長崎,52,A2,5.47,34.85,6.09,44.09,61,42.86,34,34.48,141163      12
大村,4,4,5385,鈴木柊介,21,静岡,56,B1,2.58,5.63,0.00,0.00,20,51.52,46,50.00,6 5655
大村,4,5,5271,杉山太陽,24,福岡,53,B1,4.04,17.57,2.40,5.00,54,51.43,35,41.38,653 3        8
大村,4,6,4786,佐藤博亮,38,愛知,54,A1,6.63,54.76,6.32,54.05,21,22.58,31,36.67,152313      10
大村,5,1,4179,広次修,43,山口,52,A2,5.42,34.02,4.91,25.00,66,18.75,33,26.67,233 56      10
大村,5,2,4254,川島圭司,43,滋賀,51,A2,5.34,29.55,5.80,40.00,55,25.71,15,30.00,3 522        9
大村,5,3,4575,戸塚邦好,37,東京,52,A2,6.28,44.79,5.78,44.44,74,26.67,37,50.00,141 15      10
