会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
大村,1,1,3406,中里英夫,58,群馬,53,B1,5.53,34.19,5.56,33.33,77,26.32,24,37.14,11
大村,1,2,5198,奥村明日,24,福岡,46,B1,5.74,42.62,4.28,11.11,39,27.27,67,39.13,7
大村,1,3,4293,鈴木智啓,41,愛知,59,B1,4.86,26.61,4.10,23.08,75,27.14,14,38.46,9
大村,1,4,4895,門間雄大,35,東京,55,A2,5.00,23.47,6.08,33.33,68,33.33,22,14.55,6
大村,1,5,5060,数原魁,29,兵庫,52,A2,5.89,39.81,5.48,31.03,37,47.14,52,24.07,10
大村,1,6,3976,内田圭,49,山口,53,B1,3.88,21.11,3.09,15.15,21,20.00,83,24.49,8
大村,2,1,4299,中島浩哉,43,長崎,56,B1,4.53,21.92,4.83,27.93,79,27.87,47,37.14,
大村,2,2,4984,森下愛梨,29,静岡,51,B1,4.71,27.17,5.24,27.59,74,37.33,30,16.33,7
大村,2,3,5161,登玉隼百,27,兵庫,53,A2,5.83,43.14,5.30,39.39,38,43.84,86,26.42,11
大村,2,4,3419,栗原謙治,56,群馬,56,B2,2.11,0.00,0.00,0.00,16,47.37,21,27.78,8
大村,2,5,4350,篠崎元志,40,福岡,53,A1,8.02,64.52,6.89,39.47,17,39.13,66,35.71,12
大村,2,6,3878,胡本悟志,49,山口,51,B1,4.24,17.65,4.39,21.05,67,15.87,81,38.03,10
大村,3,1,3920,正木聖賢,51,広島,52,B1,4.57,30.00,5.89,48.65,15,15.38,19,31.88,9
大村,3,2,4457,神田達也,40,愛知,52,B1,4.43,24.64,4.60,33.33,33,34.33,61,16.33,8
大村,3,3,4815,伏島祐介,36,東京,52,B1,3.76,18.37,2.85,3.70,44,50.00,28,31.48,
大村,3,4,3265,今村暢孝,61,福岡,51,A2,5.99,42.39,6.77,59.38,52,36.00,64,38.57,10
大村,3,5,5010,宇留田翔,29,三重,55,A2,5.53,37.27,5.25,25.00,53,34.85,80,25.00,11
大村,3,6,3944,山口裕二,47,長崎,53,A1,5.90,40.74,5.88,40.85,80,28.57,70,38.81,12
大村,4,1,4471,新田泰章,39,広島,52,A1,6.46,49.26,6.71,45.16,35,14.75,53,25.00,12
大村,4,2,4224,大橋栄里,44,福岡,49,B1,4.67,23.60,5.29,35.29,18,21.54,65,30.36,
大村,4,3,4743,木村仁紀,34,滋賀,55,A1,6.31,40.43,6.56,44.44,50,19.35,11,42.86,10
大村,4,4,4754,松尾充,38,三重,51,A2,6.47,45.59,6.24,47.06,32,26.98,41,16.33,9
大村,4,5,5147,田中勇輔,32,埼玉,50,B1,4.38,20.83,3.77,15.38,31,35.38,39,30.88,11
大村,4,6,4041,小林基樹,47,山口,54,B1,3.97,17.20,3.95,19.05,25,30.56,13,20.37,
大村,5,1,3776,横井健太,51,愛知,58,B1,3.15,9.57,3.29,7.89,40,30.56,23,25.00,
大村,5,2,5154,村松栄太,30,広島,53,B1,4.57,25.93,5.85,37.04,76,31.88,68,35.38,
大村,5,3,4514,上條嘉嗣,36,大阪,52,A1,6.43,52.94,6.49,43.90,45,46.05,73,40.98,12
大村,5,4,4549,小林文彦,38,福岡,53,A2,6.15,43.43,5.45,36.36,24,42.65,78,27.78,11
大村,5,5,5020,宮村勇哉,34,三重,55,B1,5.00,31.00,0.00,0.00,64,23.44,43,37.14,10
大村,5,6,4676,後藤隼之,38,東京,58,A2,5.04,22.83,5.28,28.00,78,28.57,29,38.46,
大村,6,1,4512,高野哲史,37,兵庫,52,A1,6.84,57.04,6.88,55.81,13,38.03,85,32.84,12
大村,6,2,5174,川井萌,24,静岡,45,B2,5.16,25.33,0.00,0.00,26,33.82,16,25.00,10
大村,6,3,4219,本岡勝利,44,広島,52,B1,3.87,9.33,2.71,5.88,14,31.17,69,37.14,
大村,6,4,4958,溝口海義,31,福岡,55,A1,6.27,42.42,6.67,47.83,47,36.76,46,34.85,11
大村,6,5,5006,久保原秀,30,群馬,56,B1,2.66,7.61,4.11,22.22,56,34.72,27,31.88,
大村,6,6,4895,門間雄大,35,東京,55,A2,5.00,23.47,6.08,33.33,68,33.33,22,14.55,1
大村,7,1,4885,大山千広,30,福岡,47,A2,7.29,58.23,0.00,0.00,49,32.84,72,32.31,12
大村,7,2,4998,中村かな,33,東京,49,B2,4.99,34.72,4.56,33.33,46,31.43,45,28.57,
大村,7,3,4243,西村歩,40,大阪,47,B1,5.64,40.66,5.84,45.16,55,37.84,84,34.92,
大村,7,4,5198,奥村明日,24,福岡,46,B1,5.74,42.62,4.28,11.11,39,27.27,67,39.13,1
大村,7,5,4984,森下愛梨,29,静岡,51,B1,4.71,27.17,5.24,27.59,74,37.33,30,16.33,2
大村,7,6,5314,中曽瑠華,26,東京,51,B1,3.27,10.23,3.25,0.00,66,26.47,50,46.15,
大村,8,1,4788,小池哲也,37,大阪,54,A2,5.41,31.67,5.63,33.33,71,24.24,26,24.07,
大村,8,2,5035,櫻井優,28,埼玉,53,A2,5.48,37.72,4.86,18.18,51,24.62,63,26.79,
大村,8,3,4457,神田達也,40,愛知,52,B1,4.43,24.64,4.60,33.33,33,34.33,61,16.33,3
大村,8,4,3976,内田圭,49,山口,53,B1,3.88,21.11,3.09,15.15,21,20.00,83,24.49,1
大村,8,5,3419,栗原謙治,56,群馬,56,B2,2.11,0.00,0.00,0.00,16,47.37,21,27.78,2
大村,8,6,4121,富永修一,44,福岡,52,A2,5.85,42.39,5.79,47.37,72,21.88,74,35.85,
大村,9,1,4754,松尾充,38,三重,51,A2,6.47,45.59,6.24,47.06,32,26.98,41,16.33,4
大村,9,2,5157,市川健太,28,滋賀,55,B1,4.51,29.91,0.00,0.00,11,13.85,44,29.51,
大村,9,3,4177,萬正嗣,43,群馬,58,B1,4.40,28.40,6.44,55.56,61,38.36,18,22.81,
大村,9,4,3920,正木聖賢,51,広島,52,B1,4.57,30.00,5.89,48.65,15,15.38,19,31.88,3
大村,9,5,4293,鈴木智啓,41,愛知,59,B1,4.86,26.61,4.10,23.08,75,27.14,14,38.46,1
大村,9,6,4379,桑島和宏,42,東京,58,A2,6.00,35.34,5.58,41.67,30,19.70,58,30.16,
大村,10,1,3265,今村暢孝,61,福岡,51,A2,5.99,42.39,6.77,59.38,52,36.00,64,38.57,3
大村,10,2,5020,宮村勇哉,34,三重,55,B1,5.00,31.00,0.00,0.00,64,23.44,43,37.14,5
大村,10,3,5060,数原魁,29,兵庫,52,A2,5.89,39.81,5.48,31.03,37,47.14,52,24.07,1
大村,10,4,3878,胡本悟志,49,山口,51,B1,4.24,17.65,4.39,21.05,67,15.87,81,38.03,2
大村,10,5,5174,川井萌,24,静岡,45,B2,5.16,25.33,0.00,0.00,26,33.82,16,25.00,6
大村,10,6,4743,木村仁紀,34,滋賀,55,A1,6.31,40.43,6.56,44.44,50,19.35,11,42.86,4
大村,11,1,4958,溝口海義,31,福岡,55,A1,6.27,42.42,6.67,47.83,47,36.76,46,34.85,6
大村,11,2,5147,田中勇輔,32,埼玉,50,B1,4.38,20.83,3.77,15.38,31,35.38,39,30.88,4
大村,11,3,5010,宇留田翔,29,三重,55,A2,5.53,37.27,5.25,25.00,53,34.85,80,25.00,3
大村,11,4,3406,中里英夫,58,群馬,53,B1,5.53,34.19,5.56,33.33,77,26.32,24,37.14,1
大村,11,5,5161,登玉隼百,27,兵庫,53,A2,5.83,43.14,5.30,39.39,38,43.84,86,26.42,2
大村,11,6,4549,小林文彦,38,福岡,53,A2,6.15,43.43,5.45,36.36,24,42.65,78,27.78,5
大村,12,1,4350,篠崎元志,40,福岡,53,A1,8.02,64.52,6.89,39.47,17,39.13,66,35.71,2
大村,12,2,3944,山口裕二,47,長崎,53,A1,5.90,40.74,5.88,40.85,80,28.57,70,38.81,3
大村,12,3,4885,大山千広,30,福岡,47,A2,7.29,58.23,0.00,0.00,49,32.84,72,32.31,7
大村,12,4,4512,高野哲史,37,兵庫,52,A1,6.84,57.04,6.88,55.81,13,38.03,85,32.84,6
大村,12,5,4471,新田泰章,39,広島,52,A1,6.46,49.26,6.71,45.16,35,14.75,53,25.00,4
大村,12,6,4514,上條嘉嗣,36,大阪,52,A1,6.43,52.94,6.49,43.90,45,46.05,73,40.98,5
唐津,1,1,4822,百武翔,33,佐賀,51,A2,6.35,51.82,5.33,37.72,17,0.00,59,37.39,1           10
唐津,1,2,3550,都築正治,55,愛知,55,B1,5.43,38.26,5.49,34.29,37,0.00,7,37.07,26           7
唐津,1,3,3411,池上隆行,57,広島,51,B1,3.62,8.22,3.68,15.79,2,0.00,30,22.13,3            9
唐津,1,4,3710,吉永泰弘,52,香川,56,B1,4.65,22.22,4.93,25.93,36,0.00,6,41.67,4            5
唐津,1,5,5420,吉原快誓,20,長崎,51,B2,2.09,1.32,1.67,0.00,8,0.00,46,22.88,4            6
