会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
唐津,1,1,4445,宮地元輝,39,佐賀,57,A1,6.69,38.24,7.53,59.29,60,30.88,32,31.43,12          10
唐津,1,2,4027,松江秀徳,48,佐賀,55,B1,5.52,33.77,6.12,43.87,34,29.41,26,21.88,5           11
唐津,1,3,4874,池田奈津,32,福岡,52,B1,4.48,21.95,4.07,17.86,7,42.96,50,50.00,3            8
唐津,1,4,5389,恵良琴美,18,福岡,41,B2,2.35,1.85,1.13,0.00,23,26.96,59,56.00,5            7
唐津,1,5,3809,吉田光,50,佐賀,51,B1,4.04,12.50,5.20,28.69,29,38.81,49,36.11,4            5
唐津,1,6,5451,知念伶奈,20,佐賀,45,B2,0.00,0.00,0.00,0.00,44,33.59,27,36.11,6            6
唐津,2,1,4503,上野真之,38,佐賀,51,A1,7.65,60.00,7.66,62.64,40,45.38,6,43.24,2           12
唐津,2,2,3784,中島友和,49,佐賀,54,B1,4.85,30.38,5.60,38.30,31,31.93,40,27.78,4            8
唐津,2,3,5121,定松勇樹,24,佐賀,53,A1,8.14,66.07,7.52,62.22,20,35.29,56,29.73,24           6
唐津,2,4,5428,古園井綾,23,佐賀,50,B2,1.11,0.00,1.31,0.00,13,29.10,57,45.16,6            7
唐津,2,5,4947,間庭菜摘,33,福岡,48,B1,4.51,21.15,4.41,18.37,59,31.88,23,44.74,6           10
唐津,2,6,3459,中野和裕,59,佐賀,55,B1,3.74,12.50,4.13,22.50,1,31.58,21,42.86,5            9
唐津,3,1,4500,山田康二,38,佐賀,55,A1,7.35,47.66,8.14,67.48,10,39.39,8,25.93,13           8
唐津,3,2,5307,富永夏哉,22,佐賀,52,B1,4.66,28.89,3.75,14.00,54,36.23,25,32.43,45
唐津,3,3,4294,古賀繁輝,39,佐賀,57,A1,6.16,43.00,6.94,51.35,26,32.35,48,28.13,34           7
唐津,3,4,4803,飯田庄吾,32,福岡,56,B1,3.89,16.00,0.00,0.00,37,34.38,3,40.48,4           10
唐津,3,5,5240,高橋龍治,25,福岡,55,B1,5.43,39.33,2.46,8.33,25,38.66,55,46.15,24
唐津,3,6,5412,久保田凪,20,佐賀,44,B2,1.43,0.00,1.31,0.00,15,40.15,30,19.44,6            9
唐津,4,1,3564,桑原啓,56,福岡,52,B1,4.16,23.71,4.13,31.25,24,34.06,37,31.03,35
唐津,4,2,5084,末永和也,27,佐賀,53,A1,7.18,47.06,7.52,61.49,35,31.97,1,35.14,15          11
唐津,4,3,3773,津留浩一,51,長崎,59,B1,4.09,17.14,4.88,25.00,50,43.70,35,59.26,52
唐津,4,4,4994,山本梨菜,28,佐賀,46,A1,6.12,44.71,4.68,24.00,52,28.57,17,45.83,22
唐津,4,5,4143,浦田晃嗣,44,佐賀,56,B1,4.21,19.44,4.56,24.52,55,29.71,14,41.18,6            8
唐津,4,6,4969,町田洸希,34,長崎,53,B1,4.73,22.78,4.89,16.67,12,32.54,58,32.14,1           12
唐津,5,1,4094,中島真二,44,福岡,53,B1,4.35,26.76,4.29,11.76,18,34.11,10,40.54,1           10
唐津,5,2,3964,宮地博士,47,長崎,55,B1,4.85,24.36,4.83,20.83,32,46.43,11,22.58,S           11
唐津,5,3,3809,吉田光,50,佐賀,51,B1,4.04,12.50,5.20,28.69,29,38.81,49,36.11,4            1
唐津,5,4,3623,深川真二,51,佐賀,51,A1,7.46,60.20,7.92,67.88,16,51.61,39,40.00,23          12
唐津,5,5,4515,藤田浩人,39,佐賀,55,A2,6.09,39.66,5.81,41.52,5,36.15,36,22.22,33
唐津,5,6,5417,小柳勝希,20,佐賀,51,B2,3.17,5.80,2.54,2.56,21,36.36,24,40.00,33
唐津,6,1,5121,定松勇樹,24,佐賀,53,A1,8.14,66.07,7.52,62.22,20,35.29,56,29.73,24           2
唐津,6,2,4006,小野勇作,47,佐賀,50,B1,5.28,37.65,4.69,24.49,45,25.00,44,24.32,3           10
唐津,6,3,5142,常住蓮,25,佐賀,50,A1,7.43,59.14,7.34,56.60,22,35.94,15,31.43,26          11
唐津,6,4,3617,竹田広樹,52,佐賀,55,B1,4.23,26.92,4.52,27.69,48,35.82,5,29.41,65
唐津,6,5,5451,知念伶奈,20,佐賀,45,B2,0.00,0.00,0.00,0.00,44,33.59,27,36.11,6            1
唐津,6,6,4652,酒見峻介,40,佐賀,50,A2,4.43,26.60,5.48,38.10,11,33.61,9,44.83,25          12
唐津,7,1,4395,下河雅史,39,福岡,56,B1,5.21,32.97,5.00,29.41,2,36.09,16,31.43,3           12
唐津,7,2,4196,田中太一,44,佐賀,53,B1,4.25,25.27,5.27,39.06,27,36.80,53,38.89,52
唐津,7,3,4164,岩永節也,44,長崎,53,B1,4.20,20.27,3.50,6.82,41,28.89,42,29.73,65
唐津,7,4,4294,古賀繁輝,39,佐賀,57,A1,6.16,43.00,6.94,51.35,26,32.35,48,28.13,34           3
唐津,7,5,5428,古園井綾,23,佐賀,50,B2,1.11,0.00,1.31,0.00,13,29.10,57,45.16,6            2
唐津,7,6,5389,恵良琴美,18,福岡,41,B2,2.35,1.85,1.13,0.00,23,26.96,59,56.00,5            1
唐津,8,1,5270,小玉啓太,25,佐賀,52,B1,4.70,27.16,3.26,13.64,47,37.23,13,25.81,56
唐津,8,2,4624,高田明,41,佐賀,50,A1,6.38,47.52,6.60,49.65,42,40.16,54,41.03,1           12
唐津,8,3,4143,浦田晃嗣,44,佐賀,56,B1,4.21,19.44,4.56,24.52,55,29.71,14,41.18,6            4
唐津,8,4,4500,山田康二,38,佐賀,55,A1,7.35,47.66,8.14,67.48,10,39.39,8,25.93,13           3
唐津,8,5,4874,池田奈津,32,福岡,52,B1,4.48,21.95,4.07,17.86,7,42.96,50,50.00,3            1
唐津,8,6,3784,中島友和,49,佐賀,54,B1,4.85,30.38,5.60,38.30,31,31.93,40,27.78,4            2
唐津,9,1,5214,田中宏典,26,佐賀,53,B1,4.98,31.46,4.43,24.16,28,43.55,2,55.26,46
唐津,9,2,3459,中野和裕,59,佐賀,55,B1,3.74,12.50,4.13,22.50,1,31.58,21,42.86,5            2
唐津,9,3,3998,冨成謙児,46,佐賀,51,B1,4.39,25.00,5.01,32.80,36,30.60,7,34.48,34
唐津,9,4,5412,久保田凪,20,佐賀,44,B2,1.43,0.00,1.31,0.00,15,40.15,30,19.44,6            3
唐津,9,5,4320,峰竜太,41,佐賀,51,A1,7.74,48.75,8.07,67.83,4,39.53,41,33.33,11
唐津,9,6,5462,山浦槙,19,佐賀,49,B2,0.00,0.00,0.00,0.00,8,41.73,12,38.24,6
唐津,10,1,4947,間庭菜摘,33,福岡,48,B1,4.51,21.15,4.41,18.37,59,31.88,23,44.74,6            2
唐津,10,2,4445,宮地元輝,39,佐賀,57,A1,6.69,38.24,7.53,59.29,60,30.88,32,31.43,12           1
唐津,10,3,4803,飯田庄吾,32,福岡,56,B1,3.89,16.00,0.00,0.00,37,34.38,3,40.48,4            3
唐津,10,4,4094,中島真二,44,福岡,53,B1,4.35,26.76,4.29,11.76,18,34.11,10,40.54,1            5
唐津,10,5,4734,安河内将,36,佐賀,52,A1,7.26,57.89,7.11,53.79,49,36.57,38,44.83,11
唐津,10,6,4006,小野勇作,47,佐賀,50,B1,5.28,37.65,4.69,24.49,45,25.00,44,24.32,3            6
唐津,11,1,5142,常住蓮,25,佐賀,50,A1,7.43,59.14,7.34,56.60,22,35.94,15,31.43,26           6
唐津,11,2,4531,武富智亮,37,佐賀,53,A2,6.30,41.12,6.16,43.70,46,32.33,60,34.29,11
唐津,11,3,4092,岡部大輔,45,佐賀,53,B1,4.92,28.92,5.74,39.04,38,25.00,4,13.79,42
唐津,11,4,5084,末永和也,27,佐賀,53,A1,7.18,47.06,7.52,61.49,35,31.97,1,35.14,15           4
唐津,11,5,4027,松江秀徳,48,佐賀,55,B1,5.52,33.77,6.12,43.87,34,29.41,26,21.88,5            1
唐津,11,6,3964,宮地博士,47,長崎,55,B1,4.85,24.36,4.83,20.83,32,46.43,11,22.58,S            5
唐津,12,1,3623,深川真二,51,佐賀,51,A1,7.46,60.20,7.92,67.88,16,51.61,39,40.00,23           5
唐津,12,2,4969,町田洸希,34,長崎,53,B1,4.73,22.78,4.89,16.67,12,32.54,58,32.14,1            4
