会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
福岡,1,1,5018,竹下大樹,27,福岡,55,A1,7.06,54.35,6.72,50.41,31,33.09,20,22.77,10
福岡,1,2,4248,岡本大,44,長崎,56,B1,4.54,24.18,4.03,12.12,21,39.23,26,37.86,9
福岡,1,3,5386,米玉利大,20,兵庫,54,B1,3.48,14.89,2.60,10.00,27,36.43,32,37.86,5
福岡,1,4,3696,白井友晴,54,埼玉,52,B1,4.97,27.17,5.52,42.86,49,37.40,16,32.71,7
福岡,1,5,5404,内田壮,22,山口,54,B1,2.32,4.00,0.00,0.00,42,15.79,13,21.78,6
福岡,1,6,4813,宮内直哉,36,東京,52,B1,4.23,15.49,4.80,30.00,70,31.01,41,35.35,
福岡,2,1,4693,松下誉士,42,福岡,54,B1,4.20,25.77,4.13,21.74,57,32.50,53,32.41,
福岡,2,2,4592,小林孝弘,45,山口,52,B1,4.56,21.33,4.71,25.32,54,33.33,57,37.74,
福岡,2,3,4925,森悠稀,33,兵庫,53,A2,6.07,39.60,3.44,11.11,48,21.93,64,28.44,9
福岡,2,4,3712,淺香文武,52,三重,57,B1,4.79,36.05,5.60,60.00,47,21.15,69,36.45,7
福岡,2,5,4630,岩永雅人,39,愛知,53,A2,5.36,34.25,5.24,38.10,60,22.55,28,33.64,11
福岡,2,6,5418,堀内亜海,20,大阪,55,B2,1.05,0.00,0.00,0.00,64,27.66,33,42.45,
福岡,3,1,5151,山下奈緒,31,大阪,47,B1,4.00,17.50,3.89,7.14,19,33.63,50,35.85,8
福岡,3,2,3863,海老澤泰,52,東京,55,B1,4.46,22.55,4.83,22.41,11,36.72,17,34.00,7
福岡,3,3,4914,吉田裕平,29,愛知,51,A1,7.43,54.63,7.35,41.67,69,21.05,25,30.10,12
福岡,3,4,3297,藤丸光一,59,福岡,49,B1,4.67,24.74,5.83,43.33,58,34.45,60,39.81,9
福岡,3,5,4951,新田洋一,33,広島,54,B1,4.75,22.73,5.20,30.00,14,39.64,43,28.97,10
福岡,3,6,5462,山浦槙,19,佐賀,48,B2,1.73,0.00,0.00,0.00,30,38.04,51,24.07,
福岡,4,1,3807,岡部哲,51,埼玉,51,B1,4.89,25.00,3.48,13.79,66,27.45,14,32.08,11
福岡,4,2,4823,中村桃佳,33,香川,45,A2,6.72,51.55,0.00,0.00,25,38.30,71,24.76,8
福岡,4,3,5050,木下雄介,31,滋賀,52,A2,5.75,40.00,5.20,30.00,15,40.00,74,37.38,9
福岡,4,4,4948,木場悠介,33,長崎,51,B1,5.54,38.04,5.42,38.36,72,36.36,04,29.63,10
福岡,4,5,4059,入澤友治,47,東京,57,B1,3.78,19.57,6.37,52.63,56,37.61,40,38.10,
福岡,4,6,4856,豊田健士,30,三重,52,A1,7.25,57.55,5.89,38.89,24,22.11,46,27.45,12
福岡,5,1,5386,米玉利大,20,兵庫,54,B1,3.48,14.89,2.60,10.00,27,36.43,32,37.86,1
福岡,5,2,4553,坪口竜也,37,長崎,54,A2,5.92,38.24,6.19,46.51,22,33.33,66,26.92,11
福岡,5,3,3614,谷勝幸,53,広島,55,B1,4.17,20.35,4.39,32.14,46,24.59,35,40.74,
福岡,5,4,4505,島田賢人,38,埼玉,57,A1,6.64,49.56,6.29,42.86,29,29.53,22,30.19,12
福岡,5,5,5395,日高龍之,24,佐賀,52,B1,3.11,12.70,1.33,0.00,20,35.25,47,24.07,
福岡,5,6,4475,末永祐輝,38,山口,54,A1,5.59,32.56,6.50,46.15,28,33.33,23,48.60,9
福岡,6,1,4685,島村隆幸,35,徳島,52,A1,7.13,52.08,0.00,0.00,63,28.57,38,41.67,12
福岡,6,2,3505,山田竜一,55,東京,52,A2,5.16,35.05,5.23,36.67,73,30.94,21,35.64,11
福岡,6,3,3605,中村守成,54,三重,53,B1,3.95,14.12,5.95,42.11,61,37.24,63,33.02,
福岡,6,4,3615,横田茂,53,広島,51,B1,4.34,25.81,3.75,12.50,53,25.78,02,23.40,
福岡,6,5,4089,妹尾忠幸,46,岡山,56,A2,6.35,42.59,6.78,42.50,36,37.04,12,28.43,10
福岡,6,6,5404,内田壮,22,山口,54,B1,2.32,4.00,0.00,0.00,42,15.79,13,21.78,1
福岡,7,1,3769,佐竹恒彦,53,滋賀,52,A2,5.40,32.95,5.95,40.00,75,27.87,45,52.48,11
福岡,7,2,3712,淺香文武,52,三重,57,B1,4.79,36.05,5.60,60.00,47,21.15,69,36.45,2
福岡,7,3,3696,白井友晴,54,埼玉,52,B1,4.97,27.17,5.52,42.86,49,37.40,16,32.71,1
福岡,7,4,3863,海老澤泰,52,東京,55,B1,4.46,22.55,4.83,22.41,11,36.72,17,34.00,3
福岡,7,5,5392,安武一也,26,福岡,52,B2,1.76,0.00,1.78,0.00,17,27.78,18,33.66,
福岡,7,6,3554,仲口博崇,54,愛知,52,A1,6.49,52.31,7.14,62.07,45,25.25,59,34.91,12
福岡,8,1,4590,渡邉優美,33,福岡,48,A1,6.49,41.96,6.56,43.24,23,40.87,56,42.06,12
福岡,8,2,4313,西村美智,42,香川,49,A2,5.04,32.22,6.00,50.00,55,32.76,48,35.92,
福岡,8,3,3801,五反田忍,52,大阪,52,B1,4.38,26.15,3.39,11.11,50,30.47,15,40.40,
福岡,8,4,4823,中村桃佳,33,香川,45,A2,6.72,51.55,0.00,0.00,25,38.30,71,24.76,4
福岡,8,5,5151,山下奈緒,31,大阪,47,B1,4.00,17.50,3.89,7.14,19,33.63,50,35.85,3
福岡,8,6,5428,古園井綾,23,佐賀,50,B2,1.07,0.00,1.00,0.00,38,24.79,06,26.67,
福岡,9,1,3436,柏野幸二,57,岡山,50,A2,5.69,37.50,7.04,60.00,37,30.09,65,31.07,
福岡,9,2,4475,末永祐輝,38,山口,54,A1,5.59,32.56,6.50,46.15,28,33.33,23,48.60,5
福岡,9,3,3297,藤丸光一,59,福岡,49,B1,4.67,24.74,5.83,43.33,58,34.45,60,39.81,3
福岡,9,4,4925,森悠稀,33,兵庫,53,A2,6.07,39.60,3.44,11.11,48,21.93,64,28.44,2
福岡,9,5,5050,木下雄介,31,滋賀,52,A2,5.75,40.00,5.20,30.00,15,40.00,74,37.38,4
福岡,9,6,4248,岡本大,44,長崎,56,B1,4.54,24.18,4.03,12.12,21,39.23,26,37.86,1
福岡,10,1,3841,佐々木和,50,徳島,54,A2,6.48,50.79,6.62,52.38,68,39.84,49,33.33,
福岡,10,2,4089,妹尾忠幸,46,岡山,56,A2,6.35,42.59,6.78,42.50,36,37.04,12,28.43,6
福岡,10,3,5125,高井雄基,30,愛知,52,A2,4.81,26.92,6.23,45.45,16,48.36,67,45.63,
福岡,10,4,4951,新田洋一,33,広島,54,B1,4.75,22.73,5.20,30.00,14,39.64,43,28.97,3
福岡,10,5,5018,竹下大樹,27,福岡,55,A1,7.06,54.35,6.72,50.41,31,33.09,20,22.77,1
福岡,10,6,4948,木場悠介,33,長崎,51,B1,5.54,38.04,5.42,38.36,72,36.36,04,29.63,4
福岡,11,1,4614,石倉洋行,46,福岡,54,A1,7.18,57.28,6.05,42.31,32,26.62,10,38.30,
福岡,11,2,4630,岩永雅人,39,愛知,53,A2,5.36,34.25,5.24,38.10,60,22.55,28,33.64,2
