date,n_api,n_bfile,n_common,n_diff,n_times,note
20260630,168,168,168,0,168,match
20260701,168,168,168,0,168,match
20260702,156,156,156,0,156,match
20260703,168,168,168,0,168,match
20260704,168,168,168,0,168,match
20260705,168,168,168,0,168,match
20260706,132,132,132,0,132,match
20260707,144,144,144,0,144,match
20260708,132,132,132,0,132,match
20260709,144,144,144,0,144,match
20260710,156,156,156,0,156,match
20260711,180,180,180,0,180,match
20260712,0,192,0,,0,no_openapi
20260713,156,156,156,0,156,match
20260714,156,156,156,0,156,match
20260715,168,168,168,0,168,match
20260716,144,144,144,0,144,match
20260717,144,144,144,0,144,match
20260718,180,180,180,0,180,match
20260719,192,192,192,0,192,match
20260720,156,156,156,0,156,match
20260721,144,144,144,0,144,match
20260722,144,144,144,0,144,match
20260723,156,156,156,0,156,match
20260724,180,180,180,0,180,match
20260725,180,180,180,0,180,match
20260726,156,156,156,0,156,match
20260727,156,156,156,0,156,match
20260728,144,144,144,0,144,match
20260729,156,156,156,0,156,match
20260730,144,132,132,0,132,match
20260731,192,180,180,0,180,match
20260801,168,156,156,0,156,match
20260802,0,144,0,,0,no_openapi
20260803,144,144,144,0,144,match
20260804,132,132,132,0,132,match
20260805,132,132,132,0,132,match
20260806,120,120,120,0,120,match
20260807,144,144,144,0,144,match
20260808,0,168,0,,0,no_openapi
20260809,0,168,0,,0,no_openapi
20260810,156,156,156,0,156,match
20260811,180,180,180,0,180,match
20260812,0,180,0,,0,no_openapi
20260813,180,180,180,0,180,match
20260814,0,192,0,,0,no_openapi
20260815,216,216,216,0,216,match
20260816,192,192,192,0,192,match
20260817,168,168,168,0,168,match
20260818,0,144,0,,0,no_openapi
20260819,0,144,0,,0,no_openapi
20260820,168,168,168,0,168,match
20260821,144,144,144,0,144,match
20260822,0,156,0,,0,no_openapi
20260823,0,168,0,,0,no_openapi
20260824,144,144,144,0,144,match
20260825,156,156,156,0,156,match
20260826,168,168,168,0,168,match
20260827,156,156,156,0,156,match
20260828,144,144,144,0,144,match
20260829,156,156,156,0,156,match
20260830,168,168,168,0,168,match
20260831,144,144,144,0,144,match
20260901,144,144,144,0,144,match
20260902,156,156,156,0,156,match
20260903,168,168,168,0,168,match
