会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
大村,1,1,4352,下條雄太,39,長崎,53,A1,6.23,43.56,7.80,64.90,38,38.51,75,32.92,4 245
大村,1,2,4532,秋元哲,37,埼玉,50,A1,7.19,57.50,6.89,57.89,32,33.93,36,29.88,6 241
大村,1,3,4907,小池修平,30,大阪,53,A1,7.18,55.67,7.00,48.48,57,36.21,21,37.42,342 5       10
大村,1,4,4342,谷野錬志,41,静岡,53,A1,6.75,52.69,7.42,58.33,66,39.22,30,34.59,66F 65
大村,1,5,4832,権藤俊光,39,大阪,51,A1,7.30,53.33,7.43,52.38,64,42.86,57,28.76,51S 4        6
大村,1,6,4910,中村泰平,30,愛知,51,A1,7.13,60.38,0.00,0.00,23,37.50,43,32.28,6 165
大村,2,1,4715,村上遼,33,長崎,55,A1,6.37,43.56,6.87,54.55,46,29.75,52,45.89,362 3        9
大村,2,2,4504,前田将太,37,福岡,56,A1,6.33,39.80,6.88,50.00,48,41.26,35,35.58,332 5       11
大村,2,3,3716,石渡鉄兵,51,東京,55,A1,6.71,41.12,6.27,46.67,22,36.18,58,34.44,4 436       12
大村,2,4,4659,木下翔太,34,大阪,54,A1,6.76,43.09,6.24,47.06,56,29.01,78,34.87,113 4       10
大村,2,5,4688,永井彪也,33,東京,53,A1,6.25,37.08,5.74,36.84,60,41.67,32,39.19,256 6        7
大村,2,6,4391,松田祐季,39,福井,51,A1,6.57,48.96,6.56,44.44,63,28.40,56,32.67,261 6        8
大村,3,1,4294,古賀繁輝,39,佐賀,58,A1,6.83,53.39,5.78,27.50,52,33.33,72,40.52,365 6        8
大村,3,2,3779,原田幸哉,50,長崎,54,A1,6.25,33.71,7.55,56.31,53,33.75,15,36.36,1 162       10
大村,3,3,4798,浜先真範,32,広島,52,A1,6.44,43.10,5.44,30.23,17,36.42,25,35.37,6 4 46
大村,3,4,4759,今泉友吾,36,東京,52,A1,6.32,37.66,6.97,58.82,21,45.81,29,37.66,5 314
大村,3,5,3388,今垣光太,56,福井,53,A1,7.30,51.43,6.33,28.57,62,45.95,49,38.00,225 3        9
大村,3,6,4074,柳沢一,44,愛知,52,A1,6.38,42.55,6.45,45.45,34,40.37,41,33.77,2 241       12
大村,4,1,4547,中田竜太,37,埼玉,51,A1,6.64,43.62,7.18,48.33,28,31.21,18,36.54,4 223
大村,4,2,4933,板橋侑我,29,静岡,53,A1,6.71,48.19,7.00,52.00,11,55.00,55,33.76,4 3 53      12
大村,4,3,4497,桑原悠,38,長崎,54,A1,6.28,38.75,7.57,58.54,41,26.79,27,40.40,3 321
大村,4,4,5257,西丸侑太,21,香川,52,A1,6.48,45.16,5.91,43.48,12,33.53,62,32.50,4 6 66
大村,4,5,4168,石野貴之,43,大阪,53,A1,6.46,46.67,8.25,54.17,50,27.27,69,31.97,143 1        9
大村,4,6,4985,井本昌也,28,山口,51,A1,6.82,49.56,7.12,59.18,49,29.94,63,37.50,153 3       10
