会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
福岡,1,1,4485,楠原正剛,39,福岡,56,A2,5.49,38.53,5.88,43.75,42,20.00,67,45.45,3333434 14  10
福岡,1,2,4631,新井英孝,38,大阪,53,B1,4.91,32.10,5.14,37.93,66,30.00,25,22.22,264 5 624    7
福岡,1,3,5007,近藤雄一,29,東京,54,B1,5.29,30.53,3.11,11.11,71,90.00,51,16.67,426 346 12   9
福岡,1,4,5032,谷口知優,28,香川,52,B1,5.56,30.77,5.74,31.58,69,11.11,32,30.00,443 651 34   5
福岡,1,5,4837,酒井陽祐,37,愛知,50,B1,4.68,21.74,4.21,26.32,22,22.22,52,36.36,5 2135654    8
福岡,1,6,5413,宮城那菜,20,福岡,50,B2,1.74,2.13,2.38,0.00,40,0.00,39,30.00,6 666 666    6
福岡,2,1,4590,渡邉優美,33,福岡,49,A1,7.01,47.31,6.78,47.32,21,50.00,38,50.00,2 41163336  10
福岡,2,2,5061,中村駿平,28,愛知,53,B1,3.94,21.79,5.27,18.18,26,0.00,50,22.22,1 6622546    7
福岡,2,3,4947,間庭菜摘,33,福岡,48,B1,4.80,22.62,4.68,17.86,35,0.00,53,54.55,552 6 1455   6
福岡,2,4,4962,畑竜生,29,三重,53,A2,6.02,38.10,6.12,47.06,24,10.00,55,90.00,35443 446    8
福岡,2,5,5109,川崎智稔,26,岡山,51,B1,4.84,25.84,4.68,31.58,43,71.43,26,83.33,315 34624    9
福岡,2,6,5334,樫葉新心,21,徳島,46,B1,3.33,14.46,2.18,5.88,34,30.00,65,63.64,6 365 146S
福岡,3,1,4861,田中宏樹,37,福岡,54,B1,5.63,38.64,4.20,16.67,55,54.55,59,0.00,544 145 34   7
福岡,3,2,4846,佐藤駿介,32,山口,51,B1,3.54,14.63,2.65,8.70,70,27.27,35,40.00,1 2624556    9
福岡,3,3,4362,土屋智則,41,群馬,53,A1,6.32,33.87,5.30,20.00,67,36.36,66,20.00,21123 3125  10
福岡,3,4,5033,藤原孝斗,28,愛知,56,B1,4.26,19.74,3.59,13.79,17,00.00,56,27.27,256 665 65
福岡,3,5,4486,野村誠,39,群馬,52,B1,4.85,32.35,3.94,31.25,68,40.00,62,20.00,436 522 41   9
福岡,3,6,5398,鐘ヶ江真,24,福岡,53,B1,2.64,3.75,2.35,0.00,74,60.00,46,46.67,6 563 455    8
福岡,4,1,4526,池田雄祐,37,愛知,51,A2,5.85,43.81,6.64,54.55,19,30.00,60,45.45,54141 6215  11
福岡,4,2,5219,森口和紀,25,福岡,53,B2,4.69,29.69,3.84,16.22,50,60.00,41,22.22,2 13651516  10
福岡,4,3,5053,山口広樹,30,福岡,55,B1,4.21,28.05,5.24,29.41,36,45.45,58,0.00,3 42663 54   8
福岡,4,4,4411,沢田昭宏,39,大阪,56,A2,5.62,37.63,4.98,31.37,41,18.18,48,0.00,26352 361    9
福岡,4,5,4796,春園功太,34,三重,52,A2,6.64,55.56,5.44,33.33,56,0.00,49,36.36,451 212123  11
福岡,4,6,4778,堤啓輔,40,佐賀,52,B1,5.61,41.33,5.42,36.84,18,30.00,31,25.00,3 2F4 5 6
福岡,5,1,4788,小池哲也,36,大阪,55,A2,6.62,48.00,6.32,40.91,52,72.73,47,8.33,5 5544263
福岡,5,2,5158,宮脇遼太,28,福岡,54,A2,6.44,46.15,4.40,24.00,39,45.45,29,33.33,1211221 4S  11
福岡,5,3,4979,中野夢斗,29,愛知,52,A2,5.29,31.71,4.36,18.18,23,36.36,54,20.00,544 15453    9
福岡,5,4,4424,松尾昂明,40,福岡,51,A2,6.02,41.60,6.37,48.54,28,47.37,37,22.22,1 35414213  10
福岡,5,5,5032,谷口知優,28,香川,52,B1,5.56,30.77,5.74,31.58,69,11.11,32,30.00,443 651 34   1
