race_id,bet_type,combo,odds,fetched_at
032026061301,3t,1-2-3,15.0,2026-06-19 06:12:22
032026061301,3t,2-1-3,21.8,2026-06-19 06:12:22
032026061301,3t,3-1-2,59.7,2026-06-19 06:12:22
032026061301,3t,4-1-2,108.8,2026-06-19 06:12:22
032026061301,3t,5-1-2,28.4,2026-06-19 06:12:22
032026061301,3t,6-1-2,751.3,2026-06-19 06:12:22
032026061301,3t,1-2-4,24.7,2026-06-19 06:12:22
032026061301,3t,2-1-4,27.2,2026-06-19 06:12:22
032026061301,3t,3-1-4,93.4,2026-06-19 06:12:22
032026061301,3t,4-1-3,177.1,2026-06-19 06:12:22
032026061301,3t,5-1-3,63.5,2026-06-19 06:12:22
032026061301,3t,6-1-3,1176.0,2026-06-19 06:12:22
032026061301,3t,1-2-5,11.0,2026-06-19 06:12:22
032026061301,3t,2-1-5,13.8,2026-06-19 06:12:22
032026061301,3t,3-1-5,56.1,2026-06-19 06:12:22
032026061301,3t,4-1-5,113.4,2026-06-19 06:12:22
032026061301,3t,5-1-4,87.0,2026-06-19 06:12:22
032026061301,3t,6-1-4,1520.0,2026-06-19 06:12:22
032026061301,3t,1-2-6,121.4,2026-06-19 06:12:22
032026061301,3t,2-1-6,146.8,2026-06-19 06:12:22
032026061301,3t,3-1-6,319.7,2026-06-19 06:12:22
032026061301,3t,4-1-6,513.2,2026-06-19 06:12:22
032026061301,3t,5-1-6,143.3,2026-06-19 06:12:22
032026061301,3t,6-1-5,966.7,2026-06-19 06:12:22
032026061301,3t,1-3-2,27.0,2026-06-19 06:12:22
032026061301,3t,2-3-1,42.4,2026-06-19 06:12:22
032026061301,3t,3-2-1,64.8,2026-06-19 06:12:22
032026061301,3t,4-2-1,132.2,2026-06-19 06:12:22
032026061301,3t,5-2-1,32.2,2026-06-19 06:12:22
032026061301,3t,6-2-1,1030.0,2026-06-19 06:12:22
032026061301,3t,1-3-4,46.4,2026-06-19 06:12:22
032026061301,3t,2-3-4,67.7,2026-06-19 06:12:22
032026061301,3t,3-2-4,96.6,2026-06-19 06:12:22
032026061301,3t,4-2-3,191.5,2026-06-19 06:12:22
032026061301,3t,5-2-3,58.4,2026-06-19 06:12:22
032026061301,3t,6-2-3,1662.0,2026-06-19 06:12:22
032026061301,3t,1-3-5,30.3,2026-06-19 06:12:22
032026061301,3t,2-3-5,38.3,2026-06-19 06:12:22
032026061301,3t,3-2-5,56.2,2026-06-19 06:12:22
032026061301,3t,4-2-5,118.5,2026-06-19 06:12:22
032026061301,3t,5-2-4,79.7,2026-06-19 06:12:22
032026061301,3t,6-2-4,1889.0,2026-06-19 06:12:22
032026061301,3t,1-3-6,186.1,2026-06-19 06:12:22
032026061301,3t,2-3-6,306.4,2026-06-19 06:12:22
032026061301,3t,3-2-6,406.2,2026-06-19 06:12:22
032026061301,3t,4-2-6,620.4,2026-06-19 06:12:22
032026061301,3t,5-2-6,163.6,2026-06-19 06:12:22
032026061301,3t,6-2-5,854.2,2026-06-19 06:12:22
032026061301,3t,1-4-2,53.6,2026-06-19 06:12:22
032026061301,3t,2-4-1,72.2,2026-06-19 06:12:22
032026061301,3t,3-4-1,132.9,2026-06-19 06:12:22
032026061301,3t,4-3-1,218.4,2026-06-19 06:12:22
032026061301,3t,5-3-1,85.6,2026-06-19 06:12:22
032026061301,3t,6-3-1,1467.0,2026-06-19 06:12:22
032026061301,3t,1-4-3,83.7,2026-06-19 06:12:22
032026061301,3t,2-4-3,94.1,2026-06-19 06:12:22
032026061301,3t,3-4-2,140.7,2026-06-19 06:12:22
032026061301,3t,4-3-2,208.2,2026-06-19 06:12:22
032026061301,3t,5-3-2,82.1,2026-06-19 06:12:22
032026061301,3t,6-3-2,2227.0,2026-06-19 06:12:22
032026061301,3t,1-4-5,60.2,2026-06-19 06:12:22
032026061301,3t,2-4-5,62.7,2026-06-19 06:12:22
032026061301,3t,3-4-5,137.2,2026-06-19 06:12:22
032026061301,3t,4-3-5,233.9,2026-06-19 06:12:22
032026061301,3t,5-3-4,167.8,2026-06-19 06:12:22
032026061301,3t,6-3-4,1732.0,2026-06-19 06:12:22
032026061301,3t,1-4-6,350.3,2026-06-19 06:12:22
032026061301,3t,2-4-6,387.3,2026-06-19 06:12:22
032026061301,3t,3-4-6,528.4,2026-06-19 06:12:22
032026061301,3t,4-3-6,666.9,2026-06-19 06:12:22
032026061301,3t,5-3-6,320.6,2026-06-19 06:12:22
032026061301,3t,6-3-5,1732.0,2026-06-19 06:12:22
032026061301,3t,1-5-2,18.7,2026-06-19 06:12:22
032026061301,3t,2-5-1,22.5,2026-06-19 06:12:22
032026061301,3t,3-5-1,65.6,2026-06-19 06:12:22
032026061301,3t,4-5-1,115.7,2026-06-19 06:12:22
032026061301,3t,5-4-1,144.3,2026-06-19 06:12:22
032026061301,3t,6-4-1,1732.0,2026-06-19 06:12:22
032026061301,3t,1-5-3,36.3,2026-06-19 06:12:22
032026061301,3t,2-5-3,35.0,2026-06-19 06:12:22
032026061301,3t,3-5-2,60.9,2026-06-19 06:12:22
032026061301,3t,4-5-2,105.3,2026-06-19 06:12:22
032026061301,3t,5-4-2,128.0,2026-06-19 06:12:22
032026061301,3t,6-4-2,2227.0,2026-06-19 06:12:22
032026061301,3t,1-5-4,47.8,2026-06-19 06:12:22
032026061301,3t,2-5-4,49.2,2026-06-19 06:12:22
032026061301,3t,3-5-4,118.1,2026-06-19 06:12:22
032026061301,3t,4-5-3,186.7,2026-06-19 06:12:22
032026061301,3t,5-4-3,217.6,2026-06-19 06:12:22
032026061301,3t,6-4-3,1889.0,2026-06-19 06:12:22
032026061301,3t,1-5-6,117.4,2026-06-19 06:12:22
032026061301,3t,2-5-6,152.2,2026-06-19 06:12:22
032026061301,3t,3-5-6,258.2,2026-06-19 06:12:22
032026061301,3t,4-5-6,296.2,2026-06-19 06:12:22
032026061301,3t,5-4-6,366.8,2026-06-19 06:12:22
032026061301,3t,6-4-5,1299.0,2026-06-19 06:12:22
032026061301,3t,1-6-2,364.6,2026-06-19 06:12:22
032026061301,3t,2-6-1,472.4,2026-06-19 06:12:22
032026061301,3t,3-6-1,966.7,2026-06-19 06:12:22
032026061301,3t,4-6-1,1022.0,2026-06-19 06:12:22
032026061301,3t,5-6-1,188.9,2026-06-19 06:12:22
032026061301,3t,6-5-1,831.4,2026-06-19 06:12:22
032026061301,3t,1-6-3,569.4,2026-06-19 06:12:22
032026061301,3t,2-6-3,755.8,2026-06-19 06:12:22
032026061301,3t,3-6-2,1022.0,2026-06-19 06:12:22
032026061301,3t,4-6-2,1154.0,2026-06-19 06:12:22
032026061301,3t,5-6-2,229.6,2026-06-19 06:12:22
032026061301,3t,6-5-2,820.5,2026-06-19 06:12:22
032026061301,3t,1-6-4,636.3,2026-06-19 06:12:22
032026061301,3t,2-6-4,872.1,2026-06-19 06:12:22
032026061301,3t,3-6-4,1154.0,2026-06-19 06:12:22
032026061301,3t,4-6-3,1039.0,2026-06-19 06:12:22
032026061301,3t,5-6-3,421.3,2026-06-19 06:12:22
032026061301,3t,6-5-3,1341.0,2026-06-19 06:12:22
032026061301,3t,1-6-5,294.1,2026-06-19 06:12:22
032026061301,3t,2-6-5,373.4,2026-06-19 06:12:22
032026061301,3t,3-6-5,831.4,2026-06-19 06:12:22
032026061301,3t,4-6-5,789.3,2026-06-19 06:12:22
032026061301,3t,5-6-4,442.2,2026-06-19 06:12:22
032026061301,3t,6-5-4,1144.0,2026-06-19 06:12:22
032026061301,2t,1-2,4.3,2026-06-19 06:12:22
032026061301,2t,2-1,6.8,2026-06-19 06:12:22
032026061301,2t,3-1,21.2,2026-06-19 06:12:22
032026061301,2t,4-1,34.6,2026-06-19 06:12:22
032026061301,2t,5-1,14.2,2026-06-19 06:12:22
032026061301,2t,6-1,148.7,2026-06-19 06:12:22
032026061301,2t,1-3,8.2,2026-06-19 06:12:22
032026061301,2t,2-3,17.4,2026-06-19 06:12:22
032026061301,2t,3-2,23.6,2026-06-19 06:12:22
032026061301,2t,4-2,63.2,2026-06-19 06:12:22
032026061301,2t,5-2,15.4,2026-06-19 06:12:22
032026061301,2t,6-2,316.1,2026-06-19 06:12:22
032026061301,2t,1-4,21.0,2026-06-19 06:12:22
032026061301,2t,2-4,24.3,2026-06-19 06:12:22
032026061301,2t,3-4,31.6,2026-06-19 06:12:22
032026061301,2t,4-3,53.8,2026-06-19 06:12:22
032026061301,2t,5-3,31.6,2026-06-19 06:12:22
032026061301,2t,6-3,632.2,2026-06-19 06:12:22
032026061301,2t,1-5,9.5,2026-06-19 06:12:22
032026061301,2t,2-5,11.2,2026-06-19 06:12:22
032026061301,2t,3-5,28.4,2026-06-19 06:12:22
032026061301,2t,4-5,46.8,2026-06-19 06:12:22
032026061301,2t,5-4,40.7,2026-06-19 06:12:22
032026061301,2t,6-4,632.2,2026-06-19 06:12:22
032026061301,2t,1-6,81.5,2026-06-19 06:12:22
032026061301,2t,2-6,126.4,2026-06-19 06:12:22
032026061301,2t,3-6,252.9,2026-06-19 06:12:22
032026061301,2t,4-6,180.6,2026-06-19 06:12:22
032026061301,2t,5-6,47.7,2026-06-19 06:12:22
032026061301,2t,6-5,252.9,2026-06-19 06:12:22
032026061302,3t,1-2-3,29.4,2026-06-19 06:12:22
032026061302,3t,2-1-3,37.5,2026-06-19 06:12:22
032026061302,3t,3-1-2,37.6,2026-06-19 06:12:22
032026061302,3t,4-1-2,167.8,2026-06-19 06:12:22
032026061302,3t,5-1-2,294.3,2026-06-19 06:12:22
032026061302,3t,6-1-2,547.0,2026-06-19 06:12:22
032026061302,3t,1-2-4,59.1,2026-06-19 06:12:22
032026061302,3t,2-1-4,74.5,2026-06-19 06:12:22
032026061302,3t,3-1-4,38.9,2026-06-19 06:12:22
032026061302,3t,4-1-3,109.7,2026-06-19 06:12:22
032026061302,3t,5-1-3,212.4,2026-06-19 06:12:22
032026061302,3t,6-1-3,407.2,2026-06-19 06:12:22
032026061302,3t,1-2-5,49.1,2026-06-19 06:12:22
032026061302,3t,2-1-5,58.7,2026-06-19 06:12:22
032026061302,3t,3-1-5,35.2,2026-06-19 06:12:22
032026061302,3t,4-1-5,132.9,2026-06-19 06:12:22
032026061302,3t,5-1-4,361.8,2026-06-19 06:12:22
032026061302,3t,6-1-4,712.6,2026-06-19 06:12:22
032026061302,3t,1-2-6,100.5,2026-06-19 06:12:22
032026061302,3t,2-1-6,119.2,2026-06-19 06:12:22
032026061302,3t,3-1-6,55.9,2026-06-19 06:12:22
032026061302,3t,4-1-6,245.8,2026-06-19 06:12:22
032026061302,3t,5-1-6,366.7,2026-06-19 06:12:22
032026061302,3t,6-1-5,627.3,2026-06-19 06:12:22
032026061302,3t,1-3-2,28.5,2026-06-19 06:12:22
032026061302,3t,2-3-1,43.5,2026-06-19 06:12:22
032026061302,3t,3-2-1,35.5,2026-06-19 06:12:22
032026061302,3t,4-2-1,169.9,2026-06-19 06:12:22
032026061302,3t,5-2-1,361.8,2026-06-19 06:12:22
032026061302,3t,6-2-1,800.4,2026-06-19 06:12:22
032026061302,3t,1-3-4,36.4,2026-06-19 06:12:22
032026061302,3t,2-3-4,25.6,2026-06-19 06:12:22
032026061302,3t,3-2-4,18.7,2026-06-19 06:12:22
032026061302,3t,4-2-3,69.3,2026-06-19 06:12:22
032026061302,3t,5-2-3,179.1,2026-06-19 06:12:22
032026061302,3t,6-2-3,568.1,2026-06-19 06:12:22
032026061302,3t,1-3-5,27.7,2026-06-19 06:12:22
032026061302,3t,2-3-5,34.0,2026-06-19 06:12:22
032026061302,3t,3-2-5,25.3,2026-06-19 06:12:22
032026061302,3t,4-2-5,99.0,2026-06-19 06:12:22
032026061302,3t,5-2-4,255.8,2026-06-19 06:12:22
032026061302,3t,6-2-4,1048.0,2026-06-19 06:12:22
032026061302,3t,1-3-6,58.4,2026-06-19 06:12:22
032026061302,3t,2-3-6,81.6,2026-06-19 06:12:22
032026061302,3t,3-2-6,54.7,2026-06-19 06:12:22
032026061302,3t,4-2-6,223.5,2026-06-19 06:12:22
032026061302,3t,5-2-6,388.7,2026-06-19 06:12:22
032026061302,3t,6-2-5,912.8,2026-06-19 06:12:22
032026061302,3t,1-4-2,90.8,2026-06-19 06:12:22
032026061302,3t,2-4-1,111.5,2026-06-19 06:12:22
032026061302,3t,3-4-1,34.5,2026-06-19 06:12:22
032026061302,3t,4-3-1,85.4,2026-06-19 06:12:22
032026061302,3t,5-3-1,234.1,2026-06-19 06:12:22
032026061302,3t,6-3-1,446.3,2026-06-19 06:12:22
032026061302,3t,1-4-3,62.0,2026-06-19 06:12:22
032026061302,3t,2-4-3,46.3,2026-06-19 06:12:22
032026061302,3t,3-4-2,18.9,2026-06-19 06:12:22
032026061302,3t,4-3-2,53.1,2026-06-19 06:12:22
032026061302,3t,5-3-2,172.6,2026-06-19 06:12:22
032026061302,3t,6-3-2,412.4,2026-06-19 06:12:22
032026061302,3t,1-4-5,74.1,2026-06-19 06:12:22
032026061302,3t,2-4-5,66.8,2026-06-19 06:12:22
032026061302,3t,3-4-5,25.0,2026-06-19 06:12:22
032026061302,3t,4-3-5,64.6,2026-06-19 06:12:22
032026061302,3t,5-3-4,205.4,2026-06-19 06:12:22
032026061302,3t,6-3-4,388.7,2026-06-19 06:12:22
032026061302,3t,1-4-6,149.0,2026-06-19 06:12:22
032026061302,3t,2-4-6,161.0,2026-06-19 06:12:22
032026061302,3t,3-4-6,39.7,2026-06-19 06:12:22
032026061302,3t,4-3-6,113.4,2026-06-19 06:12:22
032026061302,3t,5-3-6,259.5,2026-06-19 06:12:22
032026061302,3t,6-3-5,441.5,2026-06-19 06:12:22
032026061302,3t,1-5-2,96.4,2026-06-19 06:12:22
032026061302,3t,2-5-1,138.0,2026-06-19 06:12:22
032026061302,3t,3-5-1,83.8,2026-06-19 06:12:22
032026061302,3t,4-5-1,144.4,2026-06-19 06:12:22
032026061302,3t,5-4-1,392.4,2026-06-19 06:12:22
032026061302,3t,6-4-1,1097.0,2026-06-19 06:12:22
032026061302,3t,1-5-3,63.5,2026-06-19 06:12:22
032026061302,3t,2-5-3,68.9,2026-06-19 06:12:22
032026061302,3t,3-5-2,43.5,2026-06-19 06:12:22
032026061302,3t,4-5-2,113.6,2026-06-19 06:12:22
032026061302,3t,5-4-2,259.1,2026-06-19 06:12:22
032026061302,3t,6-4-2,1105.0,2026-06-19 06:12:22
032026061302,3t,1-5-4,122.6,2026-06-19 06:12:22
032026061302,3t,2-5-4,99.7,2026-06-19 06:12:22
032026061302,3t,3-5-4,47.5,2026-06-19 06:12:22
032026061302,3t,4-5-3,84.9,2026-06-19 06:12:22
032026061302,3t,5-4-3,210.4,2026-06-19 06:12:22
032026061302,3t,6-4-3,532.7,2026-06-19 06:12:22
032026061302,3t,1-5-6,137.5,2026-06-19 06:12:22
032026061302,3t,2-5-6,238.5,2026-06-19 06:12:22
032026061302,3t,3-5-6,67.3,2026-06-19 06:12:22
032026061302,3t,4-5-6,159.4,2026-06-19 06:12:22
032026061302,3t,5-4-6,334.3,2026-06-19 06:12:22
032026061302,3t,6-4-5,709.5,2026-06-19 06:12:22
032026061302,3t,1-6-2,222.5,2026-06-19 06:12:22
032026061302,3t,2-6-1,368.4,2026-06-19 06:12:22
032026061302,3t,3-6-1,121.1,2026-06-19 06:12:22
032026061302,3t,4-6-1,376.9,2026-06-19 06:12:22
032026061302,3t,5-6-1,558.3,2026-06-19 06:12:22
032026061302,3t,6-5-1,682.7,2026-06-19 06:12:22
032026061302,3t,1-6-3,146.9,2026-06-19 06:12:22
032026061302,3t,2-6-3,251.5,2026-06-19 06:12:22
032026061302,3t,3-6-2,99.4,2026-06-19 06:12:22
032026061302,3t,4-6-2,394.3,2026-06-19 06:12:22
032026061302,3t,5-6-2,512.5,2026-06-19 06:12:22
032026061302,3t,6-5-2,841.8,2026-06-19 06:12:22
032026061302,3t,1-6-4,267.2,2026-06-19 06:12:22
032026061302,3t,2-6-4,439.1,2026-06-19 06:12:22
032026061302,3t,3-6-4,97.9,2026-06-19 06:12:22
032026061302,3t,4-6-3,225.0,2026-06-19 06:12:22
032026061302,3t,5-6-3,407.2,2026-06-19 06:12:22
032026061302,3t,6-5-3,548.9,2026-06-19 06:12:22
032026061302,3t,1-6-5,171.5,2026-06-19 06:12:22
032026061302,3t,2-6-5,292.7,2026-06-19 06:12:22
032026061302,3t,3-6-5,121.3,2026-06-19 06:12:22
032026061302,3t,4-6-5,244.7,2026-06-19 06:12:22
032026061302,3t,5-6-4,543.4,2026-06-19 06:12:22
032026061302,3t,6-5-4,718.9,2026-06-19 06:12:22
